,total_up_cost,fixed_cap_inv_unadjusted,fixed_cap_inv,total_fixed_op_cost,total_cap_investment,land_cost,working_cap,catalysts_chemicals,electricity,cap_replacement_parts,salaries,benefits,maintenance,lab,insurance_taxes,base_employee_salary_cost,cat_and_chem_cost,labor_and_other_fixed,consumer_price_index,electricity_cost,other_var_cost
swoi,23.366025664859194,20.308783314046423,20.98030465454428,1.3052353206058844,22.06079034425331,0.03147045698181642,1.049015232727214,1.0453142293148077,0.0,1.033065562329054,0.5434165053141099,0.4890748547826989,0.16784243723635425,0.06294091396363284,0.04196060930908856,0.020308783314046425,0.0,1.032157729945335,1.0345822112412675,0.0,-0.0
coag_floc,13.104164680414648,11.765745077494492,11.765745077612149,0.7324837313054754,12.371680949109173,0.017648617616418224,0.5882872538806074,1.00000000001,0.0,1.00000000001,0.3050152869981671,0.2745137582983504,0.09412596062089719,0.03529723523283645,0.023531490155224297,0.011765745077494491,0.0,1.00000000001,1.00000000001,0.0,-0.0
tri_media_filtration,13.426630205955238,11.080272300790094,12.026418457617995,0.7808511977699154,12.645779008185322,0.01803962768642699,0.6013209228808998,1.0948846182937026,0.0,1.0853901538828097,0.3286882935899377,0.2958194642309439,0.09621134766094395,0.03607925537285398,0.02405283691523599,0.011080272300790095,0.0,1.1442891511055095,1.1041413025155016,0.0,-0.0
SAA,0.3907016872087537,0.2950202958710124,0.3511119239223673,0.021507499204384484,0.3691941880043692,0.000526667885883551,0.017555596196118364,1.4497931099098118,0.0,1.1901280313130695,0.008917391680733532,0.00802565251266018,0.0028088953913789384,0.001053335771767102,0.0007022238478447346,0.00029502029587101243,0.0,1.2552151402432885,1.260734425014082,0.0,-0.0
SBA,0.43804930258038793,0.3307727565928005,0.3936619296157868,0.024113783589388114,0.41393551899099984,0.0005904928944236802,0.01968309648078934,1.4497931099098118,0.0,1.1901280313130695,0.009997988686517308,0.008998189817865578,0.003149295436926294,0.0011809857888473603,0.0007873238592315735,0.00033077275659280047,0.0,1.2552151402432885,1.260734425014082,0.0,-0.0
cf,12.58056232180771,10.41651157458374,11.305979100859513,0.6923252972539319,11.888237024553778,0.01695896865128927,0.5652989550429757,1.0948846182937026,0.0,1.0853901538828097,0.2870250362856622,0.25832253265709604,0.09044783280687611,0.03391793730257854,0.02261195820171903,0.010416511574583742,0.0,1.1442891511055095,1.1041413025155016,0.0,-0.0
ro,913.2725808080106,213.83965792050543,254.49657109759136,15.589029813833951,267.6031445091173,0.381744856646387,12.724828554879569,1.4497931099098118,0.0,1.1901280313130695,6.46346020503435,5.817114184530915,2.035972568780731,0.763489713292774,0.5089931421951828,0.21383965792050544,0.0,1.2552151402432885,1.260734425014082,0.0,-0.0
lime,53.79662141833271,49.18775736301482,49.1877573635067,2.0756945506054203,51.72092686772729,0.07378163604526004,2.459387868175335,1.00000000001,0.0,1.00000000001,0.7559230025683332,0.6803307023115,0.39350205890805356,0.1475632720905201,0.09837551472701339,0.04918775736301482,0.0,1.00000000001,1.00000000001,0.0,-0.0
co2,7.925649454958809,7.1307544143156285,7.246728246595598,0.30571470366353687,7.619934751295272,0.010870092369893397,0.3623364123297799,1.0221551430412668,0.0,1.016263893767978,0.11131959813568112,0.10018763832211301,0.057973825972764785,0.021740184739786794,0.014493456493191196,0.007130754414315628,0.0,1.0158244261611524,1.0169972051511103,0.0,-0.0
chlor,10.021529403678441,8.429883702376127,9.149712768936213,0.400606427142012,9.620922976536429,0.013724569153404321,0.45748563844681067,1.0948846182937026,0.0,1.0853901538828097,0.14824219007675857,0.1334179710690827,0.07319770215148971,0.027449138306808642,0.018299425537872428,0.008429883702376127,0.0,1.1442891511055095,1.1041413025155016,0.0,-0.0
ammonia,0.8333764475747829,0.6393168804913864,0.7608689403644266,0.03332275678158821,0.8000536907931947,0.00114130341054664,0.038043447018221335,1.4497931099098118,0.0,1.1901280313130695,0.012332347661500351,0.011099112895350316,0.006086951522915413,0.00228260682109328,0.0015217378807288533,0.0006393168804913864,0.0,1.2552151402432885,1.260734425014082,0.0,-0.0
TWS_24_hr,12.463139629982951,9.136111808807568,11.43464613002857,0.43960922425791005,12.02353040572504,0.017151969195042856,0.5717323065014285,1.4976775368123207,0.0,1.251587805548212,0.17711888632408915,0.15940699769168024,0.04591010959199784,0.03430393839008571,0.022869292260057142,0.009182021918399567,0.0,1.2552151402432885,1.2963801900070397,0.0,-0.0
muni,4.3971705502502285,4.0204599193897765,4.020459919429981,0.16965694496960412,4.227513605280625,0.006030689879144972,0.20102299597149906,1.00000000001,0.0,1.00000000001,0.06178471895632336,0.055606247060691026,0.032163679355439845,0.012061379758289944,0.008040919838859961,0.004020459919389777,0.0,1.00000000001,1.00000000001,0.0,-0.0
